team,season,matches,wins,win_rate,total_runs,total_wickets,avg_sr,avg_econ
Bangladesh,2014/15,10,7,70.0,2395,73,58.63545454545454,3.184181818181818
Bangladesh,2015,9,7,77.78,1938,70,51.4581443298969,3.0964948453608248
Bangladesh,2015/16,3,3,100.0,745,27,68.59333333333333,2.0148484848484847
Bangladesh,2016/17,9,2,22.22,1878,62,53.432323232323235,3.267171717171717
Bangladesh,2017,8,3,37.5,1764,33,50.50595238095238,2.992142857142857
Bangladesh,2017/18,8,3,37.5,1522,47,55.39574712643679,3.1029885057471263
Bangladesh,2018,7,4,57.14,1672,46,63.569873417721524,2.511645569620253
Bangladesh,2018/19,9,5,55.56,2000,52,47.873900000000006,2.9901
Bangladesh,2019,14,6,42.86,3438,95,63.646903225806454,3.2399354838709677
Bangladesh,2019/20,3,3,100.0,941,25,64.8039393939394,2.7624242424242422
Bangladesh,2020/21,6,3,50.0,1029,38,46.25703125,2.79765625
Bangladesh,2021,6,5,83.33,1410,50,54.139558823529406,2.605294117647059
Bangladesh,2021/22,3,2,66.67,625,21,52.26,2.9315625
Bangladesh,2022,6,4,66.67,1219,43,41.74764705882353,2.2095588235294117
Bangladesh,2022/23,9,5,55.56,1955,69,63.68563829787234,2.487978723404255
Bangladesh,2023,10,3,30.0,1913,58,57.32435185185185,2.5388888888888888
Bangladesh,2023/24,14,4,28.57,3103,82,62.35083870967741,3.1241935483870966
Bangladesh,2024/25,3,0,0.0,798,13,55.72545454545455,3.7081818181818185
Bermuda,2006/07,8,1,12.5,1010,43,54.046551724137935,2.87816091954023
Bermuda,2007/08,3,0,0.0,477,17,43.47787878787879,2.243333333333333
Bermuda,2008,1,1,100.0,178,7,59.50181818181818,3.203636363636363
Canada,2002/03,6,1,16.67,873,30,39.34522388059702,2.8776119402985074
Canada,2006/07,7,3,42.86,1241,52,64.7274025974026,2.810909090909091
Canada,2007/08,2,0,0.0,388,10,72.19272727272727,4.142727272727273
Canada,2008,1,0,0.0,169,8,40.18272727272727,2.31
Canada,2009,2,2,100.0,336,19,55.495,1.836666666666667
Canada,2010,2,1,50.0,295,13,36.52181818181818,2.848181818181818
Canada,2010/11,6,1,16.67,963,43,54.622835820895524,3.4440298507462686
Canada,2011,2,0,0.0,352,12,53.07636363636364,3.3009090909090912
Canada,2012/13,1,0,0.0,204,4,34.1109090909091,2.8563636363636364
Canada,2013,2,0,0.0,106,9,18.541304347826088,2.362608695652174
Canada,2013/14,2,0,0.0,352,10,42.91863636363637,4.319545454545454
Canada,2023,4,2,50.0,778,30,55.90577777777777,2.115333333333333
Canada,2023/24,7,4,57.14,1500,47,55.52886075949367,2.611898734177215
Canada,2024,8,4,50.0,1668,59,62.410561797752806,2.4089887640449437
England,2002/03,11,4,36.36,2177,72,56.5472131147541,2.336639344262295
England,2003,9,5,55.56,1426,55,43.93380434782608,1.9278260869565218
England,2003/04,6,3,50.0,790,33,34.83209677419355,1.900806451612903
England,2004,11,6,54.55,2161,75,50.51083333333334,2.1305
England,2004/05,10,4,40.0,1991,74,49.41690909090909,2.4332727272727275
England,2005,6,2,33.33,1007,38,41.467619047619046,2.5273015873015874
England,2005/06,8,3,37.5,1748,53,57.8889010989011,2.769230769230769
England,2006,11,3,27.27,2529,59,66.89966666666666,2.85675
England,2006/07,22,11,50.0,4429,127,51.69942148760331,2.3831404958677687
England,2007,10,5,50.0,2306,70,57.35882882882883,2.668738738738739
England,2007/08,9,3,33.33,1722,54,54.563199999999995,2.6502
England,2008,10,5,50.0,1736,64,49.34831683168317,2.6174257425742575
England,2008/09,10,3,30.0,1945,59,57.232181818181814,3.387
England,2009,10,4,40.0,2129,63,65.57209090909092,2.779
England,2009/10,10,7,70.0,2212,71,56.122727272727275,2.9151818181818183
England,2010,13,8,61.54,3087,96,60.91458333333334,2.825763888888889
England,2010/11,14,4,28.57,3348,87,64.63884615384616,2.7748076923076925
England,2011,11,7,63.64,2208,69,64.36101694915254,2.843305084745763
England,2011/12,9,4,44.44,1974,56,55.492164948453606,2.8030927835051545
England,2012,11,8,72.73,2142,65,45.31821428571429,2.3602678571428575
England,2012/13,8,4,50.0,1750,58,48.64218390804598,2.5195402298850573
England,2013,13,6,46.15,2728,84,62.11189781021898,2.8676642335766425
England,2013/14,8,3,37.5,1969,58,64.19078651685393,2.85438202247191
England,2014,10,4,40.0,1902,66,68.56916666666667,2.605462962962963
England,2014/15,17,5,29.41,3735,104,58.47421621621621,3.098108108108108
England,2015,11,5,45.45,2733,70,76.23615384615384,2.8905982905982905
England,2015/16,9,5,55.56,2424,57,65.8912,2.716
England,2016,10,7,70.0,2525,69,58.78669811320755,2.7055660377358492
England,2016/17,9,6,66.67,2564,69,73.26960396039604,2.8543564356435644
England,2017,14,11,78.57,3383,91,62.18979310344828,2.8391034482758624
England,2017/18,10,7,70.0,2552,68,63.09954954954955,2.8215315315315315
England,2018,8,7,87.5,2335,58,67.21818181818182,3.1076136363636366
England,2018/19,9,5,55.56,1862,45,59.260989010989015,3.3254945054945058
England,2019,16,11,68.75,4239,119,65.33622857142858,3.0226857142857146
England,2019/20,3,1,33.33,491,10,55.56357142857143,3.4010714285714285
England,2020,6,3,50.0,1440,44,62.700606060606056,2.4496969696969697
England,2020/21,3,1,33.33,868,21,70.52794117647058,3.574411764705882
England,2021,6,5,83.33,1103,53,43.75661290322581,2.3383870967741935
England,2022,9,5,55.56,1969,54,59.73389473684211,3.246315789473684
England,2022/23,9,3,33.33,2215,66,68.38475247524752,2.9615841584158416
England,2023,6,4,66.67,1750,38,88.16383333333333,2.6268333333333334
England,2023/24,11,4,36.36,2649,78,81.12918032786885,2.97172131147541
England,2024,5,2,40.0,1324,31,64.86036363636364,3.5205454545454544
England,2024/25,3,1,33.33,761,10,61.35484848484849,4.267272727272727
Hong Kong,2008,2,0,0.0,226,10,37.02478260869565,3.9799999999999995
Hong Kong,2014,1,0,0.0,145,8,49.20272727272727,1.589090909090909
Hong Kong,2015/16,1,1,100.0,281,10,61.01909090909091,2.9400000000000004
Hong Kong,2016,2,0,0.0,324,11,65.572,3.277
Hong Kong,2016/17,5,3,60.0,934,34,40.36925925925926,2.684259259259259
Hong Kong,2017/18,4,1,25.0,600,32,47.08681818181819,2.0270454545454544
Hong Kong,2018,2,0,0.0,358,9,54.966818181818184,3.3413636363636368
ICC World XI,2005/06,2,0,0.0,376,8,63.58625,3.9175
India,2002/03,16,10,62.5,3053,111,44.87505747126437,2.0324712643678158
India,2003,1,0,0.0,37,0,37.97,0.0
India,2003/04,17,7,41.18,4000,104,66.99344632768361,2.937005649717514
India,2004,9,3,33.33,1552,56,50.04677083333333,2.4154166666666668
India,2004/05,6,3,50.0,1552,39,72.10106060606061,3.0816666666666666
India,2005,4,3,75.0,860,29,45.22204545454545,2.423409090909091
India,2005/06,20,15,75.0,4697,147,51.410444444444444,2.4996
India,2006,5,0,0.0,837,23,51.259565217391305,2.4328260869565215
India,2006/07,20,6,30.0,3735,124,49.864976744186045,2.4120000000000004
India,2007,14,9,64.29,3122,82,53.90589743589744,2.829487179487179
India,2007/08,21,10,47.62,4390,117,56.99008928571429,2.803705357142857
India,2008,14,9,64.29,3282,85,54.31318181818182,2.8545454545454545
India,2008/09,15,12,80.0,3771,93,60.479559748427675,3.1662893081761005
India,2009,7,4,57.14,1243,37,46.116176470588236,3.4954411764705884
India,2009/10,22,11,50.0,5180,126,57.9885775862069,3.271293103448276
India,2010,13,6,46.15,2509,81,50.01978723404255,2.5909929078014184
India,2010/11,20,15,75.0,4647,145,52.419822222222216,2.910488888888889
India,2011,10,3,30.0,2180,52,54.18627272727272,2.8866363636363634
India,2011/12,21,14,66.67,5162,141,60.67284482758621,3.1852586206896554
India,2012,5,4,80.0,1225,29,50.61945454545455,3.220909090909091
India,2012/13,8,4,50.0,1696,52,51.20147727272728,2.7140909090909093
India,2013,15,13,86.67,2855,115,50.1412962962963,2.386604938271605
India,2013/14,20,6,30.0,4667,121,56.41637614678899,3.5756880733944953
India,2014,7,5,71.43,1291,48,47.00266666666667,1.9970666666666668
India,2014/15,20,14,70.0,4793,154,57.55367924528302,2.63688679245283
India,2015,6,4,66.67,1476,46,61.72530303030303,2.787878787878788
India,2015/16,10,3,30.0,2779,55,61.93678899082568,3.467706422018349
India,2016,3,3,100.0,404,27,31.786,1.476
India,2016/17,8,5,62.5,2171,59,64.78157303370786,2.8416853932584267
India,2017,15,11,73.33,3579,95,50.67512658227848,2.3012025316455693
India,2017/18,17,13,76.47,4211,122,50.738074866310164,2.411390374331551
India,2018,8,6,75.0,1784,52,44.25784090909091,2.5969318181818184
India,2018/19,18,11,61.11,4396,131,57.074444444444445,2.702070707070707
India,2019,11,8,72.73,2726,80,55.7008547008547,2.5811111111111114
India,2019/20,9,4,44.44,2629,46,69.03858585858586,2.822222222222222
India,2020/21,6,3,50.0,1864,39,70.08235294117648,3.180735294117647
India,2021,3,2,66.67,716,22,59.19558823529412,2.5273529411764706
India,2021/22,6,3,50.0,1432,44,61.88134328358209,2.4338805970149253
India,2022,9,8,88.89,1891,78,51.94177083333333,2.6233333333333335
India,2022/23,18,10,55.56,4263,124,62.27067708333333,2.5883333333333334
India,2023,9,6,66.67,1834,68,49.42845360824742,1.989278350515464
India,2023/24,16,13,81.25,4309,135,65.08396551724138,2.6213793103448277
India,2024,3,0,0.0,552,22,68.14969696969698,2.981212121212121
Ireland,2006,1,0,0.0,231,7,77.35181818181819,2.730909090909091
Ireland,2006/07,9,2,22.22,1320,47,44.0075,2.6661
Ireland,2007,3,0,0.0,361,5,57.300714285714285,2.3607142857142853
Ireland,2008,2,1,50.0,137,7,50.4975,1.7091666666666665
Ireland,2008/09,1,0,0.0,137,8,38.27909090909091,3.060909090909091
Ireland,2009,2,1,50.0,315,15,52.88727272727272,2.23
Ireland,2010,5,2,40.0,792,33,48.548148148148144,2.5338888888888893
